epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,29201,1.0642,0.69876,1.16172,0.87027,0.82152,0.86154,0.6543,0.95533,0.59987,1.03503,0.0016835,0.0016835,0.0016835
69,29581.6,1.06382,0.70911,1.16052,0.87288,0.8219,0.86246,0.65528,0.95275,0.59811,1.03407,0.001634,0.001634,0.001634
70,29961.6,1.05516,0.70184,1.15776,0.87827,0.82137,0.86358,0.65564,0.95026,0.59577,1.03308,0.0015845,0.0015845,0.0015845
71,30342.3,1.05212,0.69844,1.15817,0.87668,0.82384,0.86445,0.65731,0.94831,0.59383,1.0324,0.001535,0.001535,0.001535
72,30723,1.04517,0.69152,1.15177,0.87575,0.82616,0.86523,0.65857,0.94602,0.59125,1.03154,0.0014855,0.0014855,0.0014855
73,31103.3,1.03705,0.68835,1.14417,0.88256,0.81996,0.86488,0.65946,0.94354,0.58855,1.03045,0.001436,0.001436,0.001436
74,31484,1.03448,0.68934,1.14421,0.8866,0.8197,0.86711,0.66146,0.94116,0.58663,1.02953,0.0013865,0.0013865,0.0013865
75,31865.2,1.02095,0.67607,1.13491,0.88556,0.82028,0.86763,0.66192,0.93917,0.58405,1.02862,0.001337,0.001337,0.001337
76,32246.1,1.01052,0.673,1.13562,0.88393,0.82289,0.8682,0.66251,0.9368,0.5821,1.02754,0.0012875,0.0012875,0.0012875
77,32626.7,1.00949,0.66197,1.13227,0.88358,0.82292,0.86872,0.66358,0.93526,0.58023,1.02681,0.001238,0.001238,0.001238
78,33007.3,1.00675,0.66233,1.13281,0.88709,0.82359,0.87019,0.66448,0.93352,0.57788,1.02586,0.0011885,0.0011885,0.0011885
79,33388,1.00907,0.66509,1.13204,0.88729,0.82358,0.87051,0.66566,0.93182,0.57588,1.02511,0.001139,0.001139,0.001139
80,33769.2,0.99738,0.65311,1.12282,0.88764,0.82442,0.8714,0.66709,0.93006,0.57403,1.02433,0.0010895,0.0010895,0.0010895
81,34150.3,0.99188,0.65106,1.11547,0.88901,0.82519,0.87213,0.66806,0.92807,0.5718,1.02334,0.00104,0.00104,0.00104
82,34531.1,0.98346,0.64411,1.1184,0.89171,0.82481,0.87261,0.66935,0.92618,0.57008,1.02236,0.0009905,0.0009905,0.0009905
83,34912,0.98072,0.64227,1.11621,0.88673,0.82634,0.87282,0.67002,0.92434,0.56779,1.02164,0.000941,0.000941,0.000941
84,35293.1,0.97085,0.63268,1.11333,0.88914,0.82711,0.87376,0.67087,0.92248,0.56609,1.02074,0.0008915,0.0008915,0.0008915
85,35674,0.96964,0.63227,1.11185,0.88967,0.82652,0.87419,0.67175,0.9207,0.56373,1.01998,0.000842,0.000842,0.000842
86,36054.7,0.95695,0.62551,1.10157,0.89009,0.82764,0.87511,0.67282,0.91897,0.5619,1.01905,0.0007925,0.0007925,0.0007925
